"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/metatag/Tag/Referrer.php:44","'- None -'","'- Keine -'","","False","","",""
"metatag_views/src/Form/MetatagViewsAddForm.php:44","'- Select a view -'","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage0.php:7","1st gallery image","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage1.php:7","2nd gallery image","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage2.php:7","3rd gallery image","","","False","","",""
"config/install/metatag.metatag_defaults.403.yml:0","403 access denied","","","False","","",""
"config/install/metatag.metatag_defaults.404.yml:0","404 page not found","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage3.php:7","4th gallery image","","","False","","",""
"metatag.module:47","<a href="":add"">Add more default configurations</a> as necessary for different entity types and entity bundles, e.g. for different content types or different vocabularies.","","","False","","",""
"src/Plugin/metatag/Tag/SetCookie.php:5","<a href='https://www.metatags.org/meta_http_equiv_set_cookie'>Sets a cookie</a> on the visitor's browser. Can be in either NAME=VALUE format, or a more verbose format including the path and expiration date; see the link for full details on the syntax.","","","False","","",""
"src/Plugin/migrate/source/d7/MetatagFieldInstanceDeriver.php:192","'@label of @type'","","","False","","",""
"src/Plugin/migrate/source/d7/MetatagFieldInstanceDeriver.php:155","'@label of @type @entity-type-label'","","","False","","",""
"metatag.tokens.inc:52;113","'@label tokens.'","","","False","","",""
"metatag_views/src/Controller/MetatagViewsTranslationController.php:111","'@language (original)'","","","False","","",""
"metatag.tokens.inc:76","'@type type with delta @delta'","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed114x114.php:5","A PNG image that is 114px wide by 114px high. Used with iPhone with @2x display running iOS <= 6.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed120x120.php:5","A PNG image that is 120px wide by 120px high. Used with iPhone with @2x display running iOS >= 7.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed144x144.php:5","A PNG image that is 144px wide by 144px high. Used with iPad with @2x display running iOS <= 6.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed152x152.php:5","A PNG image that is 152px wide by 152px high. Used with iPad with @2x display running iOS >= 7.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/Icon16x16.php:5","A PNG image that is 16px wide by 16px high.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed180x180.php:5","A PNG image that is 180px wide by 180px high. Used with iPhone 6 Plus with @3x display.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/Icon192x192.php:5","A PNG image that is 192px wide by 192px high.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/Icon32x32.php:5","A PNG image that is 32px wide by 32px high.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed.php:7","A PNG image that is 57px wide by 57px high. Used with the non-Retina iPhone, iPod Touch, and Android 2.1+ devices.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIcon.php:7","A PNG image that is 60px wide by 60px high. Used with the non-Retina iPhone, iPod Touch, and Android 2.1+ devices.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed72x72.php:5","A PNG image that is 72px wide by 72px high. Used with the iPad mini and the first- and second-generation iPad (@1x display) on iOS <= 6.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/AppleTouchIconPrecomposed76x76.php:5","A PNG image that is 76px wide by 76px high. Used with the iPad mini and the second-generation iPad (@1x display) on iOS >= 7.","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/Icon96x96.php:5","A PNG image that is 96px wide by 96px high.","","","False","","",""
"metatag_mobile/src/Plugin/metatag/Tag/WebManifest.php:7","A URL to a manifest.json file that describes the application. The <a href='https://developer.mozilla.org/en-US/docs/Web/Manifest'>JSON-based manifest</a> provides developers with a centralized place to put metadata associated with a web application.","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage0.php:7","A URL to the image representing the first photo in your gallery.","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage3.php:7","A URL to the image representing the fourth photo in your gallery.","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage1.php:7","A URL to the image representing the second photo in your gallery.","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsGalleryImage2.php:7","A URL to the image representing the third photo in your gallery.","","","False","","",""
"metatag_open_graph/src/Plugin/metatag/Tag/OgImageUrl.php:7","A alternative version of og:image and has exactly the same requirements; only one needs to be used.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/BibliographicCitation.php:7","A bibliographic reference for the resource. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible.","","","False","","",""
"src/Plugin/metatag/Tag/ShortLink.php:5","A brief URL, often created by a URL shortening service.","","","False","","",""
"src/Plugin/metatag/Tag/Description.php:5","A brief and concise summary of the page's content that is a maximum of 160 characters in length. The description meta tag may be used by search engines to display a snippet about the page in search results.","","","False","","",""
"src/Plugin/metatag/Tag/AbstractTag.php:5","A brief and concise summary of the page's content, preferably 150 characters or less. Where as the description meta tag may be used by search engines to display a snippet about the page in search results, the abstract tag may be used to archive a summary about the page. This meta tag is <em>no longer</em> supported by major search engines.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/Audience.php:7","A class of entity for whom the resource is intended or useful.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/EducationLevel.php:7","A class of entity, defined in terms of progression through an educational or training context, for which the described resource is intended.","","","False","","",""
"metatag_mobile/src/Plugin/metatag/Tag/ThemeColor.php:7","A color in hexadecimal format, e.g. '#0000ff' for blue; must include the '#' symbol. Used by some browsers to control the background color of the toolbar, the color used with an icon, etc.","","","False","","",""
"metatag_facebook/src/Plugin/metatag/Tag/FbAppId.php:7","A comma-separated list of Facebook Platform Application IDs applicable for this site.","","","False","","",""
"metatag_facebook/src/Plugin/metatag/Tag/FbAdmins.php:7","A comma-separated list of Facebook user IDs of people who are considered administrators or moderators of this page.","","","False","","",""
"src/Plugin/metatag/Tag/Keywords.php:5","A comma-separated list of keywords about the page. This meta tag is <em>no longer</em> supported by most search engines.","","","False","","",""
"metatag_app_links/src/Plugin/metatag/Tag/AlAndroidUrl.php:7","A custom scheme for the Android app.","","","False","","",""
"metatag_app_links/src/Plugin/metatag/Tag/AlWindowsUrl.php:7","A custom scheme for the iOS app. <strong>This attribute is required by the app Links specification.</strong>","","","False","","",""
"metatag_mobile/src/Plugin/metatag/Tag/AndroidAppLinkAlternative.php:7","A custom string for deeplinking to an Android mobile app. Should be in the format 'package_name/host_path', e.g. 'com.example.android/example/hello-screen'. The 'android-app://' prefix will be included automatically.","","","False","","",""
"metatag_mobile/src/Plugin/metatag/Tag/IosAppLinkAlternative.php:7","A custom string for deeplinking to an iOS mobile app. Should be in the format 'itunes_id/scheme/host_path', e.g. 123456/example/hello-screen'. The 'ios-app://' prefix will be included automatically.","","","False","","",""
"metatag_open_graph/src/Plugin/metatag/Tag/OgImageAlt.php:7","A description of what is in the image, not a caption. If the page specifies an og:image it should specify og:image:alt.","","","False","","",""
"metatag_twitter_cards/src/Plugin/metatag/Tag/TwitterCardsDescription.php:7","A description that concisely summarizes the content of the page, as appropriate for presentation within a Tweet. Do not re-use the title text as the description, or use this field to describe the general services provided by the website. The string will be truncated, by Twitter, at the word to 200 characters.","","","False","","",""
"metatag_app_links/src/Plugin/metatag/Tag/AlAndroidClass.php:7","A fully-qualified Activity class name for intent generation.","","","False","","",""
"metatag_app_links/src/Plugin/metatag/Tag/AlAndroidPackage.php:7","A fully-qualified package name for intent generation. <strong>This attribute is required by the App Links specification.</strong>","","","False","","",""
"metatag_favicons/src/Plugin/metatag/Tag/MaskIcon.php:7","A grayscale scalable vector graphic (SVG) file.","","","False","","",""
"metatag_open_graph/src/Plugin/metatag/Tag/OgSiteName.php:7","A human-readable name for the site, e.g., <em>IMDb</em>.","","","False","","",""
"metatag_dc/src/Plugin/metatag/Tag/Language.php:7","A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646].","","","False","","",""
"metatag_mobile/src/Plugin/metatag/Tag/Cleartype.php:7","A legacy meta tag for older versions of Internet Explorer on Windows, use the value 'on' to enable it; this tag is ignored by all other browsers.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/License.php:7","A legal document giving official permission to do something with the resource.","","","False","","",""
"src/Plugin/metatag/Tag/CanonicalUrl.php:5","A link to the preferred page location or URL of the content of this page, to help eliminate duplicate content penalties from search engines.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/TableOfContents.php:7","A list of subunits of the resource.","","","False","","",""
"src/Plugin/metatag/Tag/GeoPlacename.php:5","A location's formal name.","","","False","","",""
"src/Plugin/metatag/Tag/GeoRegion.php:5","A location's two-letter international country code, with an optional two-letter region, e.g. 'US-NH' for New Hampshire in the USA.","","","False","","",""
"metatag_pinterest/src/Plugin/metatag/Tag/PinterestDescription.php:7","A one to two sentence description of the content.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/RightsHolder.php:7","A person or organization owning or managing rights over the resource.","","","False","","",""
"metatag_dc/src/Plugin/metatag/Tag/Date.php:7","A point or period of time associated with an event in the lifecycle of the resource. Date may be used to express temporal information at any level of granularity.  Recommended best practice is to use an encoding scheme, such as the W3CDTF profile of ISO 8601 [W3CDTF].","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/InstructionalMethod.php:7","A process, used to engender knowledge, attitudes and skills, that the described resource is designed to support. Instructional Method will typically include ways of presenting instructional materials or conducting instructional activities, patterns of learner-to-learner and learner-to-instructor interactions, and mechanisms by which group and individual levels of learning are measured. Instructional methods include all aspects of the instruction and learning processes from planning and implementation through evaluation and feedback.","","","False","","",""
"metatag_open_graph/src/Plugin/metatag/Tag/ProfileUsername.php:7","A pseudonym / alias of this person.","","","False","","",""
"metatag_dc/src/Plugin/metatag/Tag/Source.php:7","A related resource from which the described resource is derived. The described resource may be derived from the related resource in whole or in part. Recommended best practice is to identify the related resource by means of a string conforming to a formal identification system.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsPartOf.php:7","A related resource in which the described resource is physically or logically included.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsVersionOf.php:7","A related resource of which the described resource is a version, edition, or adaptation. Changes in version imply substantive changes in content rather than differences in format.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/HasVersion.php:7","A related resource that is a version, edition, or adaptation of the described resource.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/HasPart.php:7","A related resource that is included either physically or logically in the described resource.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/References.php:7","A related resource that is referenced, cited, or otherwise pointed to by the described resource.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/Requires.php:7","A related resource that is required by the described resource to support its function, delivery, or coherence.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsFormatOf.php:7","A related resource that is substantially the same as the described resource, but in another format.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/HasFormat.php:7","A related resource that is substantially the same as the pre-existing described resource, but in another format.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/Replaces.php:7","A related resource that is supplanted, displaced, or superseded by the described resource.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsReferencedBy.php:7","A related resource that references, cites, or otherwise points to the described resource.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsRequiredBy.php:7","A related resource that requires the described resource to support its function, delivery, or coherence.","","","False","","",""
"metatag_dc_advanced/src/Plugin/metatag/Tag/IsReplacedBy.php:7","A related resource that supplants, displaces, or supersedes the described resource.","","","False","","",""
