"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/views/pager/InfiniteScroll.php:76","'@action, @count item'","","","False","","",""
"views_infinite_scroll.info.yml:0","A pager which allows an infinite scroll effect for views.","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:8","A views plugin which provides infinte scroll.","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:74","Automatic infinite scroll","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:117","Automatically Load Content","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:118","Automatically load subsequent pages as the user scrolls.","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:103","Button Text","Button-Text","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:74","Click to load","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:8;8","Infinite Scroll","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:94","Infinite Scroll Options","","","False","","",""
"config/schema/views_infinite_scroll.schema.yml:0","Infinite Scroll Pager","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:75","Initially load all pages","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:123","Initially load all pages up to the requested page","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:75","Initially load one page","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:57","Load More","","","False","","",""
"templates/views-infinite-scroll-pager.html.twig:11","Load more items","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:95","Note: The infinite scroll option overrides and requires the <em>Use AJAX</em> setting for this views display.","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:112","The following tokens are supported:","","","False","","",""
"views_infinite_scroll.info.yml:0","Views","Ansichten","","False","","",""
"views_infinite_scroll.info.yml:0","Views Infinite Scroll","","","False","","",""
"src/Plugin/views/pager/InfiniteScroll.php:124","When initially loading a page beyond the first, this option will load all pages up to the requested page instead of just the requested page. So, if you have the pager set to 10 items per page, and you load the page with ?page=2 in the url, you will get page 0, 1 and 2 loaded for a total of 30 items. <em>Note that this could cause some long page load times when loading many pages.</em>","","","False","","",""
