"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Form/PathautoBulkUpdateForm.php:103","<a href="":url"">Pathauto settings</a> are set to ignore paths which already have a URL alias. You can only create URL aliases for paths having none.","Die <a href="":url"">Pathauto-Einstellungen</a> sind so konfiguriert, dass Pfade, für die bereits ein Alias existiert ignoriert werden. Es können nur URL-Aliase für Seite erstellt werden, die noch keine URL-Aliase besitzen.","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:109","<strong>Note:</strong> there is no confirmation. Be sure of your action before clicking the ""Delete aliases now!"" button.<br />You may want to make a backup of the database and/or the path_alias and path_alias_revision tables prior to using this feature.","","",FALSE,"","",""
"src/Plugin/Deriver/EntityAliasTypeDeriver.php:90","'@label being aliased'","'@label wurde mit einem Alias versehen.'","",FALSE,"","",""
"src/Form/PatternEditForm.php:187","A short name to help you identify this pattern in the patterns list.","Ein kurzer Name, der Ihnen dabei hilft, dieses Muster in der Musterliste zu identifizieren.","",FALSE,"","",""
"pathauto.module:49","About","Info","",FALSE,"","",""
"pathauto.routing.yml:0","Add Pathauto pattern","Pathauto-Muster hinzufügen","",FALSE,"","",""
"pathauto.permissions.yml:0","Administer pathauto","Pathauto verwalten","",FALSE,"","",""
"pathauto.js:0","Alias: @alias","Alias: @alias","",FALSE,"","",""
"src/Plugin/pathauto/AliasType/Broken.php:5","AliasType","Aliastyp","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:74","All aliases","Alle Aliase","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:153","All of your %label path aliases have been deleted.","Alle Pfad-Aliasse %label wurden gelöscht.","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:187","All of your automatically generated %label path aliases have been deleted.","Alle automatisch erstellten Aliase vom typ %label wurden gelöscht.","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:182","All of your automatically generated path aliases have been deleted.","Alle automatisch erstellten Aliase wurden gelöscht.","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:147","All of your path aliases have been deleted.","Alle Pfad-Aliase wurden gelöscht.","",FALSE,"","",""
"pathauto.permissions.yml:0","Allows a user to configure patterns for automated aliases and bulk delete URL-aliases.","Erlaubt einem Benutzer, Muster für automatisierte Aliase zu konfigurieren und URL-Aliase massenhaft zu löschen.","",FALSE,"","",""
"src/AliasCleaner.php:308","Ampersand","kaufm. Und","",FALSE,"","",""
"src/Form/PathautoBulkUpdateForm.php:178","An error occurred while processing @operation with arguments : @args","﻿Während der Verarbeitung von @operation ist ein Fehler aufgetreten mit den Parametern: @args","",FALSE,"","",""
"src/Form/PatternDisableForm.php:18","Are you sure you want to disable the pattern %label?","Möchten Sie das Muster %label wirklich deaktivieren?","",FALSE,"","",""
"src/Form/PatternEnableForm.php:18","Are you sure you want to enable the pattern %label?","Möchten Sie das Muster %label wirklich aktivieren?","",FALSE,"","",""
"src/AliasCleaner.php:307","Asterisk","Sternchen","",FALSE,"","",""
"src/AliasCleaner.php:313","At sign","Klammeraffe","",FALSE,"","",""
"pathauto.js:0","Automatic alias","Automatisches Alias","",FALSE,"","",""
"src/AliasCleaner.php:293","Back tick","Accent Grave (Schwerer-Akzent)","",FALSE,"","",""
"src/AliasCleaner.php:322","Backslash","Umgekehrter Schrägstrich","",FALSE,"","",""
"src/Plugin/pathauto/AliasType/Broken.php:5","Broken","Kaputt","",FALSE,"","",""
"src/Plugin/pathauto/AliasType/Broken.php:21","Broken type","Defekter Typ","",FALSE,"","",""
"src/Plugin/pathauto/AliasType/Broken.php:5","Broken/Missing","Kaputt/Fehlt","",FALSE,"","",""
"pathauto.module:59","Bulk Generation","Massenerzeugung","",FALSE,"","",""
"src/Form/PathautoAdminDelete.php:127","Bulk deleting URL aliases","Massenlöschung von URL-Aliasen","",FALSE,"","",""
"pathauto.routing.yml:0","Bulk generate","Massenerzeugung","",FALSE,"","",""
