"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/Plugin/Field/FieldFormatter/CommentFormatter.php:11","Comment list (Social)","","",FALSE,"","",""
"config/install/filter.format.comment_text.yml:0","Comment text","","",FALSE,"","",""
"social_comment_extra.info.yml:0","Extends functionality of the comment module (CKEditor, sticky comments and permissions).","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/CommentFormatter.php:104","Please @log_in or @sign_up to comment.","","",FALSE,"","",""
"modules/social_comment_table/social_comment_table.info.yml:0","Provides table widget on comment text formatter.","","",FALSE,"","",""
"modules/social_comment_codesnippet/social_comment_codesnippet.info.yml:0","Provides text formats dropdown functionality on comment text formatter.","","",FALSE,"","",""
"modules/social_comment_table/social_comment_table.info.yml:0","Social","Sozial","",FALSE,"","",""
"social_comment_extra.info.yml:0","Social Comment Extra","","",FALSE,"","",""
"modules/social_comment_codesnippet/social_comment_codesnippet.info.yml:0","Social comment codesnippet","","",FALSE,"","",""
"modules/social_comment_table/social_comment_table.info.yml:0","Social comment table","","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/CommentFormatter.php:99","log in","anmelden","",FALSE,"","",""
"src/Plugin/Field/FieldFormatter/CommentFormatter.php:102","sign up","","",FALSE,"","",""
