"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group--join.html.twig:30","1 member","1 membre","","False","","",""
"social_onboarding.permissions.yml:0","Administer Social Onboarding settings","","","False","","",""
"templates/group--action-button.html.twig:12","Cancel request","Annuler la demande","","False","","",""
"social_onboarding.info.yml:0","Enables a modal to be shown to users with fields they should fill in.","","","False","","",""
"src/Form/SettingsForm.php:39","Enter a title and description for each of the modals.","","","False","","",""
"templates/views-view--groups-list.html.twig:68","Groups","","","False","","",""
"src/Form/ModalForm.php:139","Image","","","False","","",""
"templates/views-view--groups-list.html.twig:85","Informative message","Message d'information","","False","","",""
"templates/group--action-button.html.twig:18;18","Invitation only","","","False","","",""
"config/install/core.entity_view_mode.group.join.yml:0","Join","Rejoindre","","False","","",""
"templates/group--action-button.html.twig:3","Joined","Inscrit·e","","False","Is a member","",""
"templates/group--action-button.html.twig:5","Leave group","Quitter le groupe","","False","","",""
"src/Form/SettingsForm.php:59;80;101","Modal description","","","False","","",""
"src/Form/SettingsForm.php:52;73;94","Modal title","","","False","","",""
"src/Form/SettingsForm.php:45","Nickname","Pseudonyme","","False","","",""
"src/Form/ModalForm.php:194;386","Not now","","","False","","",""
"social_onboarding.routing.yml:0","Onboarding","","","False","","",""
"social_onboarding.links.menu.yml:0","Onboarding settings","","","False","","",""
"src/Form/SettingsForm.php:87","Profile groups","","","False","","",""
"src/Form/SettingsForm.php:66","Profile image","Image de profil","","False","","",""
"templates/group--action-button.html.twig:10","Request sent","Requête envoyée","","False","","",""
"templates/group--action-button.html.twig:15;15","Request to join","Demander à rejoindre","","False","","",""
"src/Form/ModalForm.php:180;373","Save and continue","","","False","","",""
"src/Form/ModalForm.php:167","Save and next","","","False","","",""
"social_onboarding.links.menu.yml:0","Settings for Social Onboarding.","","","False","","",""
"social_onboarding.info.yml:0","Social","Social","","False","","",""
"social_onboarding.info.yml:0","Social Onboarding","","","False","","",""
