"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"includes/form.inc:122","'%time ago'","Il y a %time","","False","","",""
"templates/group/group--small-teaser.html.twig:29","1 member","1 membre","","False","","",""
"src/Plugin/Preprocess/PageTitle.php:40","<em>Configure account settings:</em> @label","<em>Modifier les paramètres du compte de</em> @label","","False","","",""
"templates/comment/comment--activity-comment--dashboard.html.twig:25","'@comment_attachments_count attachment'","","","False","","",""
"templates/like/like-and-dislike-icons.html.twig:44;47","'@count like'","'@count j'aime'","","False","","",""
"templates/profile/profile--profile--default.html.twig:173","'@profile_name @profile_name_extra has not shared profile information.'","'@profile_name @profile_name_extra n'a pas partagé ses informations de profil.'","","False","","",""
"includes/form.inc:80","'@time ago'","il y a @time","","False","","",""
"templates/group/group--hero.html.twig:94","Accept","Accepter","","False","","",""
"src/Plugin/Preprocess/Dropdown.php:26","Actions","Actions","","False","","",""
"templates/private_message/private-message-thread.html.twig:59;61","Actions for this thread","Actions sur ce fil d'actu","","False","","",""
"templates/file/image-widget.html.twig:64;68","Add image","Ajouter une image","","False","","",""
"templates/profile/profile--profile--default.html.twig:98","Address","Adresse","","False","","",""
"templates/node/node--teaser.html.twig:134","Author name","Nom de l'auteur","","False","","",""
"socialbase.info.yml:0","Base theme for Open social installations. Create your own subtheme or enable Social Blue","","","False","","",""
"src/Plugin/Preprocess/Node.php:177","Be the first one to comment","Soyez le premier ou la première à commenter","","False","","",""
"templates/node/book/book-navigation.html.twig:41","Book traversal links for","Liens transversaux de livre pour","","False","","",""
"templates/navigation/breadcrumb.html.twig:16","Breadcrumb","Fil d'Ariane","","False","","",""
"config/schema/socialbase.schema.yml:0","CDN Provider","","","False","","",""
"templates/group/group--hero.html.twig:113","Cancel request","Annuler la demande","","False","","",""
"templates/block/block--views-exposed-filter-block.html.twig:70","Click to close search box","Cliquer pour fermer la barre de recherche","","False","","",""
"templates/block/block--views-exposed-filter-block.html.twig:52","Click to open filter","Cliquer pour ouvrir le filtre","","False","","",""
