"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"token.module:295","'%name is using the following invalid tokens: @invalid-tokens.'","'%name utilise les jetons invalides suivants : @invalid-tokens.'","",FALSE,"","",""
"token.module:281","'%name must contain at least one token.'","'%name doit contenir au moins un jeton.'","",FALSE,"","",""
"token.module:287","'%name must contain at most one token.'","'%name doit contenir au plus un jeton.'","",FALSE,"","",""
"token.tokens.inc:1569","'@label tokens.'","'@label jetons.'","",FALSE,"","",""
"token.tokens.inc:1552","'@type field.'","Champ @type.","",FALSE,"","",""
"token.tokens.inc:1549","'@type field. Also known as %labels.'","Champ @type. Aussi connu comme %labels.","",FALSE,"","",""
"token.tokens.inc:1587","'@type type with delta @delta'","Type @type avec le delta @delta","",FALSE,"","",""
"token.tokens.inc:124","A date in '@type' format. (%date)","Une date dans le format '@type'. (%date)","",FALSE,"","",""
"token.tokens.inc:429","A random hash. The possible hashing algorithms are: @hash-algos.","Un hachage aléatoire. Les algorithmes de hachage possibles sont : @hash-algos.","",FALSE,"","",""
"token.tokens.inc:425","A random number from 0 to @max.","Un nombre aléatoire entre 0 et @max.","",FALSE,"","",""
"token.module:33","About","A propos","",FALSE,"","",""
"token.tokens.inc:360","Absolute URL","URL absolue","",FALSE,"","",""
"token.tokens.inc:227","Account cancellation URL","URL d'annulation de compte","",FALSE,"","",""
"token.tokens.inc:276","An array of all the menu link's parents, starting with the root.","Une liste de tous les parents du lien de menu, en commençant avec la racine.","",FALSE,"","",""
"token.tokens.inc:1207","An array of all the node's parents, starting with the root.","Un tableau avec tous les parents du nœud, en commençant par la racine.","",FALSE,"","",""
"token.tokens.inc:190","An array of all the term's parents, starting with the root.","Une liste de tous les termes parents, en commençant avec la racine.","",FALSE,"","",""
"token.tokens.inc:373","Arguments","","",FALSE,"","",""
"token.tokens.inc:380","Array","Tableau (Array)","",FALSE,"","",""
"token.tokens.inc:1169","Attempting to perform token replacement for token type %type without required data","Tentative de remplacement d'un jeton pour le type de jeton %type sans les données requises","",FALSE,"","",""
"token.tokens.inc:1191","Author","Auteur","",FALSE,"","",""
"src/Controller/TokenTreeController.php:51","Available tokens","Jetons (tokens) disponibles","",FALSE,"","",""
"token.module:364","Available variables are: [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","Les variables disponibles sont : [site:name], [site:url], [user:display-name], [user:account-name], [user:mail], [site:login-url], [site:url-brief], [user:edit-url], [user:one-time-login-url], [user:cancel-url].","",FALSE,"","",""
"token.tokens.inc:212","Base name","Nom de base","",FALSE,"","",""
"token.tokens.inc:1181;1212","Book","Livre","",FALSE,"","",""
