"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"google_tag.module:34","<a href="":url"">Google Tag Manager</a> is a free service (registration required) to manage the insertion of tags for capturing website analytics.","","",FALSE,"","",""
"src/Form/SettingsForm.php:38","<br />After configuring the module settings and default properties for a new container, <strong>add a container</strong> on the <a href="":url"">container management page</a>.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:263","A valid container ID is case sensitive and formatted like GTM-xxxxxx.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:304","A valid environment ID is case sensitive and formatted like env-x.","","",FALSE,"","",""
"src/ContainerController.php:28","Add @entity-type","","",FALSE,"","",""
"google_tag.routing.yml:0","Add Google Tag container","","",FALSE,"","",""
"src/Form/ContainerTrait.php:50","Add classes to the data layer","","",FALSE,"","",""
"google_tag.links.action.yml:0","Add container","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Add snippet for specific roles","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Add snippet for specific statuses","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Add snippet on specific paths","","",FALSE,"","",""
"google_tag.install:207","Added the flush_snippets setting and retained the snippet parent URI.","","",FALSE,"","",""
"google_tag.permissions.yml:0","Administer Google Tag Manager","","",FALSE,"","",""
"src/Form/ContainerTrait.php:35","Advanced","Avancé","",FALSE,"","",""
"google_tag.info.yml:0","Allows your website analytics to be managed using Google Tag Manager.","","",FALSE,"","",""
"google_tag.install:70","An automated attempt to create the directory failed, possibly due to a permissions problem. Create the directory and make it writable.","","",FALSE,"","",""
"google_tag.install:80","An automated attempt to make the directory searchable failed, possibly due to a permissions problem. Make the directory searchable.","","",FALSE,"","",""
"google_tag.install:75","An automated attempt to make the directory writable failed, possibly due to a permissions problem. Make the directory writable.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:68","Black-listed classes","","",FALSE,"","",""
"src/Form/SettingsForm.php:98","Compact the JavaScript snippet","","",FALSE,"","",""
"config/schema/google_tag.data_types.schema.yml:0","Condition","","",FALSE,"","",""
"google_tag.install:140;147","Config appears to be updated; no changes made","","",FALSE,"","",""
"google_tag.install:24","Configure default settings on the <a href="":url1"">module settings page</a>. Afterwards, add a container on the <a href="":url2"">container management page</a>.","","",FALSE,"","",""
"google_tag.links.menu.yml:0","Configure the website integration with GTM and the resultant capturing of website analytics.","","",FALSE,"","",""
"google_tag.permissions.yml:0","Configure the website integration with Google Tag Manager","","",FALSE,"","",""
"src/Entity/Container.php:12","Container","","",FALSE,"","",""
"src/Form/ContainerForm.php:152","Container ID","","",FALSE,"","",""
"src/Form/ContainerForm.php:101","Container settings","","",FALSE,"","",""
"src/Entity/Container.php:12","Containers","","",FALSE,"","",""
"config/schema/google_tag.data_types.schema.yml:0","Context assignments","","",FALSE,"","",""
"google_tag.install:164","Converted config item to separate settings and container config items","","",FALSE,"","",""
"src/Form/ContainerTrait.php:41","Data layer","","",FALSE,"","",""
"src/Form/SettingsForm.php:49","Default container settings","","",FALSE,"","",""
"src/Form/SettingsForm.php:56","Default insertion conditions","","",FALSE,"","",""
"google_tag.install:71","Does not exist","","",FALSE,"","",""
"src/Plugin/Condition/Domain.php:12;12","Domain","","",FALSE,"","",""
"src/ContainerController.php:44","Edit %label container","","",FALSE,"","",""
"src/Form/ContainerTrait.php:140","Enter one relative path per line using the ""*"" character as a wildcard. Example paths are: ""%node"" for the node page, ""%user-wildcard"" for each individual user, and ""%front"" for the front page.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:168","Enter one response status per line. For more information, refer to the <a href=""http://en.wikipedia.org/wiki/List_of_HTTP_status_codes"">list of HTTP status codes</a>.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:86","Environment ID","","",FALSE,"","",""
"src/Form/ContainerTrait.php:97","Environment token","","",FALSE,"","",""
"src/Form/SettingsForm.php:119","Flush snippet directory on cache rebuild","","",FALSE,"","",""
"google_tag.install:85","For more information, see INSTALL.txt or the <a href="":handbook_url"">online handbook</a>.","","",FALSE,"","",""
"src/Form/ContainerForm.php:146","General","Général","",FALSE,"","",""
"google_tag.links.menu.yml:0","Google Tag Manager","","",FALSE,"","",""
"google_tag.routing.yml:0","Google Tag Manager containers","","",FALSE,"","",""
"google_tag.routing.yml:0","Google Tag Manager settings","","",FALSE,"","",""
"google_tag.install:98","Google Tag Manager snippet directory","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","ID","","",FALSE,"","",""
"src/Form/SettingsForm.php:106","If checked, then each JavaScript snippet will be included as a file. This is <strong>recommended</strong>. Leave unchecked to inline each snippet into the page. This only applies to data layer and script snippets.","","",FALSE,"","",""
"src/Form/SettingsForm.php:113","If checked, then the JavaScript snippet files will be created during a cache rebuild. This is <strong>recommended on production sites</strong>. If not checked, any missing snippet files will be created during a page response.","","",FALSE,"","",""
"src/Form/SettingsForm.php:99","If checked, then the JavaScript snippet will be compacted to remove unnecessary whitespace. This is <strong>recommended on production sites</strong>. Leave unchecked to output a snippet that can be examined using a JavaScript debugger in the browser.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:78","If checked, then the applicable snippets will include the environment items below. Enable <strong>only for development</strong> purposes.","","",FALSE,"","",""
"src/Form/ContainerTrait.php:51","If checked, then the listed classes will be added to the data layer.","","",FALSE,"","",""
"src/Form/SettingsForm.php:127","If checked, then the result of each snippet insertion condition will be shown in the message area. Enable <strong>only for development</strong> purposes.","","",FALSE,"","",""
"src/Form/SettingsForm.php:120","If checked, then the snippet directory will be deleted during a cache rebuild. If not checked, then manual intervention may be required to tidy up the snippet directory (e.g. remove snippet files for a deleted container).","","",FALSE,"","",""
"src/Form/ContainerTrait.php:77","Include an environment","","",FALSE,"","",""
"src/Form/SettingsForm.php:105","Include the snippet as a file","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Insertion condition","","",FALSE,"","",""
"src/Form/ContainerForm.php:108","Insertion conditions","","",FALSE,"","",""
"google_tag.install:176","Installed the google_tag_container entity type","","",FALSE,"","",""
"src/ContainerListBuilder.php:19","Label","","",FALSE,"","",""
"src/Plugin/Condition/Language.php:12;12","Language","Langue","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Listed paths","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Listed statuses","","",FALSE,"","",""
"src/ContainerListBuilder.php:20","Machine name","","",FALSE,"","",""
"src/Form/SettingsForm.php:81","Module settings","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Module settings and default container settings","","",FALSE,"","",""
"google_tag.install:26;40","Not configured","","",FALSE,"","",""
"google_tag.install:81","Not searchable","","",FALSE,"","",""
"google_tag.install:76","Not writable","Non accessible en écriture","",FALSE,"","",""
"src/Form/ContainerTrait.php:134","On this and the following tabs, specify the conditions on which the GTM JavaScript snippet will either be inserted on or omitted from the page response, thereby enabling or disabling tracking and other analytics. All conditions must be satisfied for the snippet to be inserted. The snippet will be omitted if any condition is not met.","","",FALSE,"","",""
"config/schema/google_tag.schema.yml:0","Recreate snippet directory on cache rebuild","","",FALSE,"","",""
"src/Form/SettingsForm.php:112","Recreate snippets on cache rebuild","","",FALSE,"","",""
"src/Form/ContainerTrait.php:133","Request path","","",FALSE,"","",""
