"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"social_poll.info.yml:0","Allows community managers to create polls for their members.","","","False","","",""
"config/install/core.entity_view_mode.poll.block.yml:0","Block","Bloc","","False","","",""
"config/install/core.entity_view_mode.poll.group.yml:0","Group","","","False","","",""
"config/optional/block.block.socialblue_group_polls_block.yml:0","Group polls","","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Lists (Views)","Listes (vues)","","False","","",""
"templates/block--social-poll-recent-block.html.twig:38","Most recent Poll","Sondage le plus récent","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:15","Most recent poll","Sondage le plus récent","","False","","",""
"config/optional/field.field.paragraph.poll_item.field_poll.yml:0","Poll","Sondage","","False","","",""
"config/optional/paragraphs.paragraphs_type.poll_item.yml:0","Poll item","Objet du sondage","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:75","Select a poll you would like to show in the block, leave it empty to show the most recently created.","Sélectionner un sondage que vous voulez montrer dans le bloc, laissez-le vide pour montrer le plus récemment créé.","","False","","",""
"src/Plugin/Block/SocialPollRecentBlock.php:74","Select a poll.","Sélectionner un sondage.","","False","","",""
"social_poll.info.yml:0","Social","Social","","False","","",""
"social_poll.info.yml:0","Social Poll","","","False","","",""
