"component","status code","not found","skipped","accepted","total","result","count"
"Total","0","179","12459","0","25870","0","25870"
"address","200","0","122","0","152","FALSE","152"
"addtoany","200","0","6","0","45","FALSE","45"
"admin-toolbar","200","0","59","0","128","FALSE","128"
"better-exposed-filters","200","0","7","0","134","FALSE","134"
"block-field","200","0","12","0","38","FALSE","38"
"bootstrap","200","1","158","0","399","FALSE","399"
"captcha","200","0","14","0","232","FALSE","232"
"coder","200","0","10","0","56","FALSE","56"
"config-update","200","0","12","0","79","FALSE","79"
"consumers","200","0","9","0","36","FALSE","36"
"content-lock","200","0","38","0","114","FALSE","114"
"crop","200","1","26","0","117","FALSE","117"
"csv-serialization","200","0","1","0","4","FALSE","4"
"ctools","200","0","47","0","119","FALSE","119"
"data-policy","200","0","47","0","129","FALSE","129"
"dbee","200","0","2","0","44","FALSE","44"
"devel","200","0","101","0","550","FALSE","550"
"disable-user-1-edit","200","0","0","0","11","FALSE","11"
"dynamic-entity-reference","200","0","35","0","69","FALSE","69"
"editor-advanced-link","200","0","0","0","17","FALSE","17"
"embed","200","0","12","0","47","FALSE","47"
"entity","200","1","33","0","83","FALSE","83"
"entity-reference-revisions","200","0","48","0","82","FALSE","82"
"eu-cookie-compliance","200","0","15","0","274","FALSE","274"
"exif-orientation","200","0","1","0","3","FALSE","3"
"externalauth","200","0","2","0","15","FALSE","15"
"features","200","1","65","0","262","FALSE","262"
"field-group","200","0","59","0","153","FALSE","153"
"file-mdm","200","0","6","0","42","FALSE","42"
"flag","200","1","104","0","341","FALSE","341"
"gender","200","0","3","0","98","FALSE","98"
"geocoder","200","0","6","0","148","FALSE","148"
"google-analytics","200","0","4","0","197","FALSE","197"
"google-tag","200","0","8","0","107","FALSE","107"
"group","200","0","123","0","388","FALSE","388"
"image-effects","200","0","86","0","479","FALSE","479"
"image-widget-crop","200","0","24","0","121","FALSE","121"
"inline-entity-form","200","0","20","0","68","FALSE","68"
"jsonapi","200","0","23","0","24","FALSE","24"
"key","200","0","22","0","170","FALSE","170"
"kpi-analytics","200","0","2","0","17","FALSE","17"
"language-access","200","0","0","0","4","FALSE","4"
"layout-builder-restrictions","200","0","0","0","70","FALSE","70"
"lazy","200","0","1","0","125","FALSE","125"
"like-and-dislike","200","0","3","0","40","FALSE","40"
"link-css","200","0","1","0","11","FALSE","11"
"login-tracker","200","0","0","0","17","FALSE","17"
"mailsystem","200","0","14","0","46","FALSE","46"
"message","200","1","62","0","182","FALSE","182"
"metatag","200","0","52","0","913","FALSE","913"
"openapi","200","0","0","0","24","FALSE","24"
"openapi-ui","200","0","0","0","5","FALSE","5"
"openapi-ui-redoc","200","0","0","0","4","FALSE","4"
"override-node-options","200","0","3","0","23","FALSE","23"
"paragraphs","200","4","247","0","325","FALSE","325"
"pathauto","200","0","29","0","187","FALSE","187"
"poll","200","0","1","0","130","FALSE","130"
"private-message","200","0","38","0","225","FALSE","225"
"profile","200","0","35","0","114","FALSE","114"
"r4032login","200","0","17","0","34","FALSE","34"
"real-aes","200","0","2","0","10","FALSE","10"
"recaptcha","200","0","4","0","61","FALSE","61"
"redirect","200","0","39","0","200","FALSE","200"
"redis","200","0","0","0","31","FALSE","31"
"role-delegation","200","0","0","0","13","FALSE","13"
"schemata","200","0","2","0","13","FALSE","13"
"search-api","200","5","346","0","933","FALSE","933"
"search-api-exclude-entity","200","0","1","0","18","FALSE","18"
"search-api-location","200","0","1","0","76","FALSE","76"
"shariff","200","0","16","0","123","FALSE","123"
"simple-oauth","200","0","20","0","121","FALSE","121"
"simplesamlphp-auth","200","0","4","0","102","FALSE","102"
"social-api","200","0","1","0","18","FALSE","18"
"social-auth","200","0","2","0","41","FALSE","41"
"social-course","200","0","39","0","166","FALSE","166"
"social-geolocation","200","0","5","0","44","FALSE","44"
"social-json-api","200","0","1","0","16","FALSE","16"
"social-kpi-lite","200","0","3","0","16","FALSE","16"
"socialbase","200","4","161","0","194","FALSE","194"
"socialblue","200","6","84","0","137","FALSE","137"
"swiftmailer","200","0","14","0","109","FALSE","109"
"taxonomy-access-fix","200","0","0","0","5","FALSE","5"
"token","200","2","163","0","173","FALSE","173"
"update-helper","200","0","0","0","32","FALSE","32"
"url-embed","200","0","4","0","40","FALSE","40"
"views-bulk-operations","200","0","28","0","94","FALSE","94"
"views-infinite-scroll","200","0","3","0","21","FALSE","21"
"votingapi","200","0","45","0","173","FALSE","173"
"weight","200","0","4","0","17","FALSE","17"
"distribution","200","38","960","0","3106","FALSE","3106"
"drupal-core","200","64","2731","0","3331","FALSE","3331"
"drupal-core","200","24","2781","0","3331","FALSE","3331"
"drupal-core","200","23","2862","0","3331","FALSE","3331"
"social-admin","200","0","2","0","29","FALSE","29"
"social-advanced-image","200","0","0","0","36","FALSE","36"
"social-app","200","0","2","0","20","FALSE","20"
"social-badge","200","0","1","0","20","FALSE","20"
"social-birthday","200","0","15","0","40","FALSE","40"
"social-captcha","200","0","1","0","3","FALSE","3"
"social-challenge","200","1","28","0","223","FALSE","223"
"social-collaboration","200","0","24","0","36","FALSE","36"
"social-comment-export","200","0","9","0","15","FALSE","15"
"social-comment-extra","200","0","4","0","12","FALSE","12"
"comment-permission","200","0","0","0","5","FALSE","5"
"social-cookie","200","0","1","0","3","FALSE","3"
"social-course-quiz","200","0","10","0","162","FALSE","162"
"social-course-scorm","200","0","6","0","73","FALSE","73"
"social-dashboard","200","0","10","0","12","FALSE","12"
"social-disabler","200","0","1","0","10","FALSE","10"
"social-discussion","200","1","40","0","114","FALSE","114"
"social-elasticsearch","200","0","1","0","3","FALSE","3"
"social-encrypt","200","0","1","0","3","FALSE","3"
"social-engagement","200","0","0","0","30","FALSE","30"
"social-gender","200","0","10","0","14","FALSE","14"
"social-group-staging","200","0","4","0","15","FALSE","15"
"social-grouptab-management","200","0","5","0","10","FALSE","10"
"hubspot-analytics","200","0","4","0","20","FALSE","20"
"social-migrate","200","0","9","0","56","FALSE","56"
"social-newsletter","200","0","0","0","10","FALSE","10"
"social-onboarding","200","1","10","0","27","FALSE","27"
"social-paragraphs-user-roles","200","0","0","0","3","FALSE","3"
"social-pwa","200","0","2","0","75","FALSE","75"
"social-registration-fields","200","0","1","0","9","FALSE","9"
"social-resource-library","200","0","26","0","91","FALSE","91"
"social-search-solr","200","0","0","0","8","FALSE","8"
"social-signup-redirect","200","0","3","0","14","FALSE","14"
"social-poll","200","0","9","0","13","FALSE","13"
"social-spam-prevention","200","0","1","0","23","FALSE","23"
"sticky-comment","200","0","1","0","14","FALSE","14"
"social-translation-manager","200","0","2","0","22","FALSE","22"
"social-webhooks","200","0","2","0","28","FALSE","28"
"social-wootric","200","0","0","0","9","FALSE","9"
"social-o365","200","0","1","0","65","FALSE","65"
"social-saas-analytics","200","0","0","0","3","FALSE","3"
"social-saas-core","200","0","3","0","155","FALSE","155"
"social-saas-permissions","200","0","0","0","8","FALSE","8"
"gpi-migrate","200","0","6","0","95","FALSE","95"
"gpi-orchestrator","200","0","2","0","12","FALSE","12"
"gpi-validation","200","0","0","0","7","FALSE","7"
"oauth2-client","200","0","1","0","48","FALSE","48"
