"component","status code","not found","skipped","accepted","total","result","count"
"Total","0","273","13845","0","38965","0","38965"
"address","200","0","51","0","152","FALSE","152"
"addtoany","200","0","7","0","45","FALSE","45"
"admin-toolbar","200","0","69","0","137","FALSE","137"
"better-exposed-filters","200","0","8","0","136","FALSE","136"
"block-field","200","0","11","0","38","FALSE","38"
"bootstrap","200","2","245","0","399","FALSE","399"
"captcha","200","0","14","0","248","FALSE","248"
"coder","200","0","12","0","56","FALSE","56"
"config-update","200","0","45","0","79","FALSE","79"
"consumers","200","0","8","0","40","FALSE","40"
"content-lock","200","1","112","0","115","FALSE","115"
"crop","200","2","97","0","117","FALSE","117"
"csv-serialization","200","0","1","0","4","FALSE","4"
"ctools","200","0","19","0","120","FALSE","120"
"data-policy","200","0","45","0","131","FALSE","131"
"dbee","200","0","2","0","44","FALSE","44"
"devel","200","0","61","0","379","FALSE","379"
"disable-user-1-edit","200","0","0","0","11","FALSE","11"
"dynamic-entity-reference","200","0","34","0","79","FALSE","79"
"editor-advanced-link","200","0","2","0","23","FALSE","23"
"embed","200","0","35","0","48","FALSE","48"
"entity","200","0","52","0","83","FALSE","83"
"entity-reference-revisions","200","0","54","0","82","FALSE","82"
"eu-cookie-compliance","200","0","73","0","289","FALSE","289"
"exif-orientation","200","0","1","0","3","FALSE","3"
"externalauth","200","0","1","0","54","FALSE","54"
"features","200","1","70","0","260","FALSE","260"
"field-group","200","0","76","0","153","FALSE","153"
"file-mdm","200","0","3","0","46","FALSE","46"
"flag","200","2","104","0","340","FALSE","340"
"gender","200","0","8","0","98","FALSE","98"
"geocoder","200","0","8","0","148","FALSE","148"
"google-analytics","200","0","12","0","196","FALSE","196"
"google-tag","200","0","6","0","107","FALSE","107"
"group","200","1","143","0","388","FALSE","388"
"image-effects","200","0","88","0","510","FALSE","510"
"image-widget-crop","200","0","68","0","124","FALSE","124"
"inline-entity-form","200","0","44","0","69","FALSE","69"
"jsonapi","200","0","4","0","24","FALSE","24"
"key","200","0","25","0","170","FALSE","170"
"kpi-analytics","200","0","2","0","24","FALSE","24"
"language-access","200","0","0","0","4","FALSE","4"
"layout-builder-restrictions","200","0","5","0","70","FALSE","70"
"lazy","200","0","2","0","125","FALSE","125"
"like-and-dislike","200","0","7","0","40","FALSE","40"
"link-css","200","0","1","0","11","FALSE","11"
"login-tracker","200","0","3","0","36","FALSE","36"
"mailsystem","200","0","32","0","46","FALSE","46"
"message","200","3","69","0","180","FALSE","180"
"metatag","200","0","34","0","992","FALSE","992"
"openapi","200","0","1","0","24","FALSE","24"
"openapi-ui","200","0","0","0","5","FALSE","5"
"openapi-ui-redoc","200","0","0","0","4","FALSE","4"
"override-node-options","200","0","2","0","23","FALSE","23"
"paragraphs","200","3","201","0","331","FALSE","331"
"pathauto","200","2","171","0","187","FALSE","187"
