"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"src/RealTime/FirebaseClient.php:209","'@error'","","","False","","",""
"src/Form/SocialAppSettingsForm.php:210","Actions","","","False","","",""
"src/Form/SocialAppSettingsForm.php:169","Add","","","False","","",""
"social_app.permissions.yml:0","Administer App Settings","","","False","","",""
"social_app.links.menu.yml:0","Administer app settings.","","","False","","",""
"social_app.permissions.yml:0","Allows the application to receive push notifications","","","False","","",""
"social_app.permissions.yml:0","Allows the application to request a magic login link for the authenticated user","","","False","","",""
"src/Form/SocialAppSettingsForm.php:73","Android","","","False","","",""
"src/Form/SocialAppSettingsForm.php:79;114","App name","","","False","","",""
"social_app.routing.yml:0","App settings","","","False","","",""
"src/Form/SocialAppSettingsForm.php:288","Can't determine the triggering element.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:96","Code","","","False","","",""
"src/Form/SocialAppSettingsForm.php:160;209","Comment","","","False","","",""
"src/Form/SocialAppSettingsForm.php:271","Comment is required.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:136","Deep links","","","False","","",""
"src/Form/SocialAppSettingsForm.php:187","Delete","","","False","","",""
"social_app.routing.yml:0","Delete deep link","","","False","","",""
"src/Form/SocialAppSettingsForm.php:82;90;117;128","E.g. @value","","","False","","",""
"src/Form/SocialAppSettingsForm.php:155;208","Exclude","","","False","","",""
"src/RealTime/FirebaseClient.php:187","Failure message: @error","","","False","","",""
"src/Plugin/Push/FirebasePush.php:13","Firebase","","","False","","",""
"src/Plugin/ActivityDestination/SocialAppPushActivityDestination.php:7","Firebase Push","","","False","","",""
"social_app.info.yml:0","Integrate Open Social to mobile application.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:145","Link","","","False","","",""
"src/Plugin/Push/FirebasePush.php:13","Manage Firebase Push notifications.","","","False","","",""
"src/Plugin/Push/FirebasePush.php:129","Mobile app","","","False","","",""
"src/Form/SocialAppSettingsForm.php:182","No","","","False","","",""
"src/Plugin/ActivitySend/SocialAppPushSend.php:22","Push notifications to the Open Social mobile app.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:222","Save","Salva","","False","","",""
"social_app.info.yml:0","Social","Social","","False","","",""
"social_app.info.yml:0","Social App","","","False","","",""
"src/RealTime/FirebaseClient.php:195","Some of the recipients will not be able to receive the notification, please check response.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:125","Team name","","","False","","",""
"src/Form/SocialAppSettingsForm.php:244","The configuration options have been saved.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:312","The deep link has been saved.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:213","There are no items yet.","","","False","","",""
"src/Form/SocialAppSettingsForm.php:150;207","URL","","","False","","",""
"src/Form/SocialAppSettingsForm.php:267","URL is required.","","","False","","",""
"social_app.permissions.yml:0","User authentication login link","","","False","","",""
"social_app.permissions.yml:0","User push notification receive","","","False","","",""
"src/Form/SocialAppSettingsForm.php:182","Yes","","","False","","",""
"src/Form/SocialAppSettingsForm.php:108","iOS","","","False","","",""
