"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"templates/group--join.html.twig:30","1 member","1 utente","",FALSE,"","",""
"social_onboarding.permissions.yml:0","Administer Social Onboarding settings","","",FALSE,"","",""
"templates/group--action-button.html.twig:12","Cancel request","Elimina la richiesta","",FALSE,"","",""
"social_onboarding.info.yml:0","Enables a modal to be shown to users with fields they should fill in.","","",FALSE,"","",""
"src/Form/SettingsForm.php:39","Enter a title and description for each of the modals.","","",FALSE,"","",""
"templates/views-view--groups-list.html.twig:68","Groups","Gruppi","",FALSE,"","",""
"src/Form/ModalForm.php:139","Image","Immagine","",FALSE,"","",""
"templates/views-view--groups-list.html.twig:85","Informative message","Messaggio informativo","",FALSE,"","",""
"templates/group--action-button.html.twig:18;18","Invitation only","","",FALSE,"","",""
"config/install/core.entity_view_mode.group.join.yml:0","Join","","",FALSE,"","",""
"templates/group--action-button.html.twig:3","Joined","Iscritto","",FALSE,"Is a member","",""
"templates/group--action-button.html.twig:5","Leave group","","",FALSE,"","",""
"src/Form/SettingsForm.php:59;80;101","Modal description","","",FALSE,"","",""
"src/Form/SettingsForm.php:52;73;94","Modal title","","",FALSE,"","",""
"src/Form/SettingsForm.php:45","Nickname","","",FALSE,"","",""
"src/Form/ModalForm.php:194;386","Not now","Non ora","",FALSE,"","",""
"social_onboarding.routing.yml:0","Onboarding","","",FALSE,"","",""
"social_onboarding.links.menu.yml:0","Onboarding settings","","",FALSE,"","",""
"src/Form/SettingsForm.php:87","Profile groups","","",FALSE,"","",""
"src/Form/SettingsForm.php:66","Profile image","Immagine del profilo","",FALSE,"","",""
"templates/group--action-button.html.twig:10","Request sent","Richiesta inviata","",FALSE,"","",""
"templates/group--action-button.html.twig:15;15","Request to join","Richiesta di iscrizione","",FALSE,"","",""
"src/Form/ModalForm.php:180;373","Save and continue","","",FALSE,"","",""
"src/Form/ModalForm.php:167","Save and next","","",FALSE,"","",""
"social_onboarding.links.menu.yml:0","Settings for Social Onboarding.","","",FALSE,"","",""
"social_onboarding.info.yml:0","Social","Social","",FALSE,"","",""
"social_onboarding.info.yml:0","Social Onboarding","","",FALSE,"","",""
